Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
154,COMPLETE,0.6446943283056253,0.7434192147413748,7,0.5208886675954887,6.099099462611598,0.017576666660480973,13,96,0.10750388605410202,918,21
155,COMPLETE,0.6448992436504356,0.7256529407676575,7,0.5103191474484773,6.928058198731395,0.01908515228371069,18,81,0.08333780457761736,807,17
156,COMPLETE,0.6446462886013384,0.7187973211591301,7,0.5000745279152972,6.5339668165427245,0.016873950759944217,17,99,0.03214044384047823,825,16
157,COMPLETE,0.6446438451779497,0.7335956932328079,7,0.5287728094183541,5.192207909334373,0.015860496949176413,19,95,0.06293784084774405,844,18
158,COMPLETE,0.6434634930683507,0.7398428304226228,5,0.49191941184587595,5.733889758393713,0.015440795627402505,20,91,0.13097297186963633,1183,20
159,COMPLETE,0.6439932479781243,0.7302059492582912,7,0.5168501672477432,6.356308754439106,0.01628679039175653,11,84,0.22748021684886421,786,19
160,COMPLETE,0.6445998564124389,0.7380868263045136,7,0.506622277156168,7.308360756674109,0.014974400254758902,17,88,0.09970723727074862,888,27
161,COMPLETE,0.6451979128648928,0.7416874605216824,7,0.523393784646022,6.732746486703197,0.015841722720885045,9,87,0.017774731867301316,846,19
162,COMPLETE,0.644804050161453,0.7452922013358095,7,0.5226126227461176,6.728135157108765,0.015504910277593925,9,86,9.623971610789317e-05,847,18
163,COMPLETE,0.6453922328971723,0.7355881287192955,7,0.5347867066671934,7.620087312473234,0.017100037840343592,9,93,0.026049018349357037,818,17
164,COMPLETE,0.644407326080624,0.7489514363937654,7,0.5379985818411439,5.993716688871597,0.01723791287191724,9,90,0.026134607318852924,819,19
165,COMPLETE,0.645439129479406,0.7403640364672067,7,0.5471310909184075,7.73454105897176,0.015943245842305494,18,93,0.04237549970546177,798,17
166,COMPLETE,0.6448033071321186,0.742018374223057,7,0.548228291368909,7.713285494951904,0.014402447957031593,18,93,0.014495404940673164,795,17
167,COMPLETE,0.6451047984291445,0.7360117414468045,7,0.5418803843711647,7.492274321357124,0.015865346736679022,19,100,0.06739778599878717,807,16
168,COMPLETE,0.6448455919313187,0.7509909905591966,7,0.55523237266416,8.406601936743444,0.015888909558245366,19,100,0.06411741294815915,1027,16
169,COMPLETE,0.6451329942490386,0.7367619878077366,7,0.5427668982798797,7.696968760376638,0.01664045163960231,19,98,0.03694788846308296,812,15
170,COMPLETE,0.6438182717143393,0.7440153710907015,7,0.5597751429053236,8.13450946951886,0.018389752494675192,19,98,0.03397510832207237,774,15
171,COMPLETE,0.6453024013650706,0.7361879029619198,7,0.5434571084575692,7.904572735346981,0.01681597307605033,20,97,0.019746094840212402,813,17
172,COMPLETE,0.6453389705540047,0.7362365142719616,7,0.5362193303231234,7.94208208084333,0.01689949900960686,20,97,0.05515698128367807,804,16
173,COMPLETE,0.6451528059831237,0.7371488205923873,7,0.546491191457161,7.998635937079311,0.01669185540966082,20,98,0.001299404535793778,812,16
174,COMPLETE,0.6448216613855857,0.7385621842052528,7,0.5484432119911449,7.867742308346036,0.016740358383645005,20,98,0.014860412800485383,808,14
175,COMPLETE,0.6439680099865428,0.7349162363701613,7,0.5657989614921585,8.26890612968444,0.0171449674251012,20,99,0.040489351700146545,815,15
176,COMPLETE,0.6451211772248135,0.7464932329127152,7,0.5399423614259629,7.9753625467614535,0.01654703444420377,21,95,0.006627830711335204,790,16
177,COMPLETE,0.6452880230329949,0.7416406969408624,7,0.5429338889846548,8.624691149104217,0.016469176120861462,21,100,0.011775879901663079,789,16
178,COMPLETE,0.6451065059677117,0.7452738979046523,7,0.5419843261348896,8.757133810287614,0.016537494108381463,21,97,0.014111120111550805,783,15
179,COMPLETE,0.6444557551608603,0.7602821205776644,7,0.5524392797878782,8.73011582215798,0.016726669735604383,21,100,0.007954458040708635,757,13
180,COMPLETE,0.6436843120987266,0.7459186389224461,7,0.540306229844694,8.676457957701222,0.011863190679423912,21,97,0.022589620655905057,778,15
181,COMPLETE,0.6447264000237312,0.7420305807748586,7,0.5442202814731211,8.215183888515678,0.016498021402785612,21,100,0.011785362355081201,789,16
182,COMPLETE,0.6449584680895621,0.7374007956841739,7,0.5349461581031723,8.00899438561191,0.017368848527122956,21,96,0.04358916502761222,798,16
